survey	contact_type	part_age	cont_age	m_est
physical distancing	community	[10,20)	[5,10)	0.22690198511846704
physical distancing	community	[10,20)	[10,20)	0.8041315769878697
physical distancing	community	[10,20)	[20,30)	0.5368423002956927
physical distancing	community	[10,20)	[30,40)	0.38806796666691673
physical distancing	community	[10,20)	[40,50)	0.36478361741307463
physical distancing	community	[10,20)	[50,60)	0.3181352603232029
physical distancing	community	[10,20)	[60,70)	0.19864253921220704
physical distancing	community	[10,20)	[70,80)	0.10142955049847371
physical distancing	community	[10,20)	[80,Inf]	0.03758377542867813
physical distancing	community	[20,30)	[0,5)	0.08050190568824
physical distancing	community	[20,30)	[5,10)	0.1321029004344776
physical distancing	community	[20,30)	[10,20)	0.4896743984936501
physical distancing	community	[20,30)	[20,30)	0.9548857758786938
physical distancing	community	[20,30)	[30,40)	0.6564300122133326
physical distancing	community	[20,30)	[40,50)	0.5508347491806564
physical distancing	community	[20,30)	[50,60)	0.4681039755041214
physical distancing	community	[20,30)	[60,70)	0.26781464234721586
physical distancing	community	[20,30)	[70,80)	0.1524501541210703
physical distancing	community	[20,30)	[80,Inf]	0.07940810717391376
physical distancing	community	[30,40)	[0,5)	0.08371863751739277
physical distancing	community	[30,40)	[5,10)	0.11723107123391081
physical distancing	community	[30,40)	[10,20)	0.36968479940651344
physical distancing	community	[30,40)	[20,30)	0.6855668778781955
physical distancing	community	[30,40)	[30,40)	1.0658929626610254
physical distancing	community	[30,40)	[40,50)	0.7988748000059855
physical distancing	community	[30,40)	[50,60)	0.6157038135926952
physical distancing	community	[30,40)	[60,70)	0.3547817259045626
physical distancing	community	[30,40)	[70,80)	0.2125001938445617
physical distancing	community	[30,40)	[80,Inf]	0.12337464081392634
physical distancing	community	[40,50)	[0,5)	0.0857687129170004
physical distancing	community	[40,50)	[5,10)	0.11337820868725539
physical distancing	community	[40,50)	[10,20)	0.3240062419529202
physical distancing	community	[40,50)	[20,30)	0.536384184618211
physical distancing	community	[40,50)	[30,40)	0.7448498749772352
physical distancing	community	[40,50)	[40,50)	1.0442425537412272
physical distancing	community	[40,50)	[50,60)	0.6940396141045923
physical distancing	community	[40,50)	[60,70)	0.4036903150105125
physical distancing	community	[40,50)	[70,80)	0.27083647502659847
physical distancing	community	[40,50)	[80,Inf]	0.16919969060138193
physical distancing	community	[50,60)	[0,5)	0.08720337831073202
physical distancing	community	[50,60)	[5,10)	0.09478706257465551
physical distancing	community	[50,60)	[10,20)	0.25471292331028433
physical distancing	community	[50,60)	[20,30)	0.41088729364326865
physical distancing	community	[50,60)	[30,40)	0.5174773545958518
physical distancing	community	[50,60)	[40,50)	0.6256221897061947
physical distancing	community	[50,60)	[50,60)	0.6694092140154853
physical distancing	community	[50,60)	[60,70)	0.42919959907167754
physical distancing	community	[50,60)	[70,80)	0.3197399101617336
physical distancing	community	[50,60)	[80,Inf]	0.2193676283967773
physical distancing	community	[60,70)	[0,5)	0.07182994548165025
physical distancing	community	[60,70)	[5,10)	0.07159310171450076
physical distancing	community	[60,70)	[10,20)	0.19088476014045044
physical distancing	community	[60,70)	[20,30)	0.28215000998454765
physical distancing	community	[60,70)	[30,40)	0.3578846404975169
physical distancing	community	[60,70)	[40,50)	0.4367587696173788
physical distancing	community	[60,70)	[50,60)	0.5151393245750184
physical distancing	community	[60,70)	[60,70)	0.422182363470841
physical distancing	community	[60,70)	[70,80)	0.3719847879323909
physical distancing	community	[60,70)	[80,Inf]	0.2703477618642726
physical distancing	community	[70,80)	[0,5)	0.031721029861630945
physical distancing	community	[70,80)	[5,10)	0.041851891903346344
physical distancing	community	[70,80)	[10,20)	0.13382925360676734
physical distancing	community	[70,80)	[20,30)	0.2205221165764644
physical distancing	community	[70,80)	[30,40)	0.2943213841863128
physical distancing	community	[70,80)	[40,50)	0.40232770522430644
physical distancing	community	[70,80)	[50,60)	0.5269121282656942
physical distancing	community	[70,80)	[60,70)	0.5107487682271478
physical distancing	community	[70,80)	[70,80)	0.4845956581735176
physical distancing	community	[70,80)	[80,Inf]	0.37457539363907477
physical distancing	community	[80,Inf]	[0,5)	0.01145915663139349
physical distancing	community	[80,Inf]	[5,10)	0.02143547497498112
physical distancing	community	[80,Inf]	[10,20)	0.09449131958474451
